Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,area
Mozambique,63.8,79.1,84.6,71.8,59.6,59.4,72.9,33.5,36,42,49.3,56.5,55.4,50.6,53.5,59.8,77.6,62.2,57.4,68.6,83.7,84.3,82.5,. .,. .,. .,"""002"""
Namibia,xxx,xxx,198,145,125,70.2,57,68.2,66.5,83.7,78.9,106,92.4,96.8,88,129,167,192,200,228,266,300,397,442,412,396,"""002"""
Niger,. .,. .,. .,. .,. .,. .,17.5,18.4,17.4,17.3,22,23.6,20.1,24.8,20.7,24.6,31.6,32.8,. .,. .,53.6,. .,47.2,. .,69.8,. .,"""002"""
Nigeria,271,171,277,244,174,289,320,639,701,819,1150,492,369,571,897,587,640,674,776,971,1616,1504,1990,2386,2327,2411,"""002"""
Rwanda,36.6,41.6,95.1,105,88.6,89.4,40.5,56.4,73.7,77.3,87.1,80.9,61.3,56.9,51.1,45.2,41.2,45,54.6,55.6,67.7,75.3,74.5,75.4,79.8,82.2,"""002"""
Senegal,99.5,95.6,115,106,110,120,66.1,80.9,79.8,70.8,75.1,78.3,62.4,68.9,74.4,96.9,108,124,149,193,217,208,200,. .,. .,237,"""002"""
Seychelles,12.1,13,14.8,16.6,20.5,12.9,11.9,11.6,10.5,11.4,10.5,11.1,10.3,11.1,11.7,12.2,15.9,14.7,14.4,15.2,11.1,8.7,7.2,8.7,9.2,13.1,"""002"""
Sierra Leone,7.1,9.6,9,16.2,20.2,23.3,26.5,25,18.6,9.5,. .,. .,23.3,29.9,27.1,28.5,23,23.6,28.3,29.5,23.6,26.5,24.5,24,27.5,30.3,"""002"""
Somalia,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,"""002"""
South Africa,4263,4182,4364,3874,3677,3254,3479,3292,2592,2414,1906,1738,1892,1802,1766,2574,3099,3567,3506,3526,3286,3593,4188,4594,4507,4108,"""002"""
South Sudan,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,651,1047,964,. .,"""002"""
Sudan,332,. .,780,986,134,189,165,194,106,97.7,260,430,587,388,485,398,1241,1165,1537,. .,. .,. .,. .,. .,. .,. .,"""002"""
Swaziland,8.7,9.6,14.5,16,21,23.7,25.8,28.8,26.5,25.7,25.7,25.9,24.5,19.7,18.3,31.9,42.7,59.5,58.5,61.9,66.7,101,124,123,119,112,"""002"""
