Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,area
Turkey,2664,3374,5315,5671,6158,7075,5293,6606,7512,7792,8781,9952,9994,7216,9050,10278,10921,12081,13124,15088,16908,16150,17747,17181,18109,19085,"""150"""
United Kingdom,34304,33499,38944,42074,40775,34086,34494,34248,34491,35675,36868,36457,35255,35332,39673,46943,53970,55152,57483,65986,65615,57907,58099,60284,58500,57891,"""150"""
Ukraine,xxx,xxx,xxx,xxx,. .,152,919,1047,1465,2069,1405,942,1137,1089,1176,1428,1685,2405,2986,4096,4811,3347,3710,3922,4607,5338,"""150"""
Yugoslavia (former),,,,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,"""150"""
Bahrain,186,197,216,237,252,251,256,273,289,290,296,327,322,335,398,464,479,486,539,589,659,762,776,878,953,1236,"""142"""
Egypt,5699,4482,2242,1722,1864,2031,2153,2347,2364,2509,2786,2910,3124,2985,2831,2384,2368,2659,2953,3307,3780,4017,4289,4287,4376,4255,"""002"""
Iran,5882,8614,10622,12571,14064,1196,1762,1900,2718,3550,4417,7407,12452,15385,3360,3860,5335,7213,8546,8239,7608,7946,9478,11007,10628,. .,"""142"""
Iraq,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,614,1120,1236,1942,2873,2968,3581,5905,6054,7896,"""142"""
Israel,7762,6656,7615,10628,8613,8920,8832,8567,9584,9924,9508,9270,9932,10318,10886,11416,11040,10754,11786,12661,14663,14185,14773,15510,15066,16032,"""142"""
Jordan,588,383,322,433,368,391,408,300,417,444,496,512,529,529,523,612,587,604,702,1032,1341,1404,1367,1385,1246,1196,"""142"""
Kuwait,1704,2076,8976,12937,6317,2980,3295,3693,3241,2455,2280,2286,2697,2686,2821,3131,3447,3509,3600,4119,4428,4206,4329,5393,5940,5815,"""142"""
Lebanon,39.3,. .,214,229,443,453,637,746,736,678,694,830,930,959,907,923,955,963,1009,1152,1169,1426,1585,1627,1757,1936,"""142"""
Oman,1532,1562,1931,1673,2023,1920,2027,2018,1916,1976,1758,1787,2100,2423,2488,2622,2974,3652,4030,4326,4617,4490,4895,6668,12334,9246,"""142"""
Qatar,983,848,791,896,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,761,785,772,888,1066,1562,2318,1948,1877,. .,. .,. .,"""142"""
Saudi Arabia,13355,12750,16355,16355,15360,16451,14280,13200,13340,18127,20862,18320,19964,21027,18502,18747,20910,25393,29581,35465,38223,41273,45245,48531,56498,66996,"""142"""
Syria,3467,1382,1529,2695,2772,1328,1605,958,995,1047,1096,1128,897,1023,1103,1436,1389,1450,1435,1599,1732,2182,2346,2495,. .,. .,"""142"""
UAE,. .,. .,. .,. .,. .,. .,. .,. .,. .,3336,4010,4233,5876,5798,5353,5834,6816,6603,7164,8460,11572,13836,17505,19182,19024,. .,"""142"""
Yemen,xxx,xxx,807,1028,1307,1535,2353,806,416,397,385,395,474,540,737,807,735,816,822,1050,1196,. .,. .,1164,1439,1416,"""142"""
"Yemen, North",832,800,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,"""142"""
"Yemen, South",. .,. .,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,"""142"""
US Dollar GDP Deflator IMF,75.694,78.557,81.59,84.443,86.386,88.381,90.259,92.106,93.852,95.414,96.472,97.868,100,102.399,104.187,106.404,109.463,113,116.567,119.682,122.087,124.298,126.598,129.277,131.76,134.093,
